Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,73.8443161,73.84454522,73.84478576,73.84502393,74.72610712,75.60718557,76.48826649,77.3693425,78.25042552,79.13136904,80.01221709,80.89307217,81.77391689,82.65476737,83.53561715,84.41646718,85.29732015,86.1781663,87.05901486,87.93986502,88.82071008,,
Bangladesh,17.66102355,18.73700671,19.82435712,20.90848136,21.98915954,23.07214054,24.14787637,25.22124717,26.29209359,27.35956418,28.42291983,29.48124444,30.533663,31.57950162,32.6181748,33.64912089,34.67175069,35.68556584,36.69010606,37.68488358,38.66941874,,
Bulgaria,50.98889339,50.83995755,50.70176125,50.56548615,50.43131257,50.29901878,50.16856971,50.04006087,49.91346259,51.41793406,53.13918148,54.93685786,56.76194021,58.61381858,60.58086782,62.62218021,64.69305504,66.79304934,68.60083817,70.4127472,72.22877412,,
Bahrain,68.17329223,69.38425755,70.59947504,71.81378837,73.02782993,74.24183286,75.45579717,76.66972285,77.8836099,79.09745833,80.31126813,81.5250393,82.73877185,83.95246578,85.16612107,86.37973774,87.59331579,88.80685521,90.020356,91.23381816,91.23381816,,
Bosnia and Herzegovina,16.94551357,17.60289939,18.25262314,18.89493456,19.52948975,20.15754743,20.77816248,21.39091474,21.99616503,22.59390874,24.79573784,27.07620718,29.36756438,31.59672788,33.67336859,35.32234032,36.97916446,38.64421651,40.31840048,,,,
Belarus,84.14757409,84.22060135,84.29302577,84.36469803,83.73662938,83.06430915,82.39375312,81.72436819,81.05577273,80.38677775,79.73070574,79.07971425,78.42808759,77.7751513,77.11997598,75.97225663,74.83018213,74.58773863,74.3512062,74.12021631,73.89504618,,
Bolivia,27.98748229,28.91301607,29.82490728,30.73120179,31.63453919,32.53443214,33.43165522,34.72125995,36.02920376,37.35459872,38.6975507,40.05816061,41.43604754,42.81789635,44.20886732,45.61717777,47.04296958,48.48564858,49.94654184,51.4255202,52.92221398,,
Brazil,35.74204341,36.16762407,36.58589826,37.00214532,37.41623629,37.82821516,38.23827901,38.64646748,39.0528122,39.4570433,39.85950934,40.26155659,41.15432283,42.06269659,42.98721103,43.92766119,44.88398291,45.85641823,46.84473257,47.8493132,48.706315,,
Bhutan,62.12646111,62.37396261,62.86786039,63.3303878,63.76030628,64.14853948,64.44166271,64.71078133,64.95538449,64.78265275,64.55864346,64.29753151,63.99818885,63.66085999,63.28595222,62.87392457,62.90754042,63.47546086,64.04963687,64.63002626,65.2166584,,
Central African Republic,19.6758589,19.63079212,19.5857164,19.54025698,19.49432394,19.09000526,18.69190459,18.29993339,17.91349252,17.53225618,17.15613616,16.78457431,16.41748307,16.0545444,15.6952343,15.33947083,14.98715727,14.63759225,14.29069706,13.94619233,13.60380656,,
Canada,77.57492526,77.5758104,77.57602197,78.02877775,78.48155771,78.8857635,79.28068911,79.67517216,80.06894984,80.46202275,80.85439848,81.24600912,81.636549,82.02636889,82.41547978,82.80387768,83.1915656,83.5785755,83.97367373,84.36813002,84.36839322,,
Central Europe and the Baltics,71.83908543,68.06275894,68.42506658,68.72455398,69.42722473,70.15149333,71.06791195,72.04148379,73.05052449,74.16940572,75.30248092,76.49550466,77.68087001,78.84628892,79.97938998,81.17416689,82.34165617,83.37761845,84.22215272,84.95085834,85.3224154,,
Switzerland,99.61506661,99.61498273,99.61526264,99.61553749,99.61580674,99.61608332,99.61636646,99.61664303,99.61691804,99.61718556,99.61746539,99.62057864,99.62366575,99.62673767,99.62981829,99.63288821,99.63594918,99.63774647,99.63810616,99.63862569,99.65155911,,
Chile,50.93020344,51.18679267,51.43395989,51.65471264,53.21928976,54.79560816,56.3840428,57.98429897,59.59664186,61.22076212,62.85662723,64.50452638,66.16412487,67.83556426,69.51881798,71.18451893,72.75744191,74.37180759,75.70739056,77.15227438,78.60140201,,
China,13.12912376,13.49134882,14.36520496,16.4711643,18.7369101,21.15726769,23.71607541,26.41296376,29.25110684,32.22411192,35.32940402,38.5387437,41.85739972,45.29026847,48.83494578,52.48634689,56.24054077,60.09072637,64.02449293,68.03605785,69.65580705,,
"Congo, Dem. Rep.",22.25010664,21.82640657,21.40743235,20.99323027,20.58384727,20.17927348,19.68032856,19.18955404,18.70701631,18.16510852,17.630471,17.10315079,16.58317236,16.07056555,15.56537461,15.06761794,14.57732219,14.09448759,13.6191602,13.15133439,12.69102623,,
