Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antigua and Barbuda,,,,,,,,,,,,,,,,,,77496754,87879341,109079979,131431027,147841734,164369279,182144093,208372846,240923925,290440141,337174862,398637728,438794789,459470370,481707407,499281481,535174074,589429630,577281481,633729630,680618519,727859259,766200000,826370370,800481481,814381481,856396296,919729630,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467955556,1604770370,1675403704,1416348148,1560518519,1757603704
Australia,18606562979,19682883152,19922563190,21539843449,23801123811,25976164159,27307844373,30442724874,32714085238,36683365874,41333606618,45216647240,52042056075,63832158873,88963890936,97304383449,1.05061E+11,1.10351E+11,1.18492E+11,1.34898E+11,1.49984E+11,1.76892E+11,1.94037E+11,1.77263E+11,1.93517E+11,1.80635E+11,1.82472E+11,1.89488E+11,2.36153E+11,2.99876E+11,3.11431E+11,3.25982E+11,3.25532E+11,3.12138E+11,3.22809E+11,3.68141E+11,4.01311E+11,4.35614E+11,3.99661E+11,3.8939E+11,4.15845E+11,3.79358E+11,3.95573E+11,4.67498E+11,6.14326E+11,6.95305E+11,7.47907E+11,8.54427E+11,1.05569E+12,9.2863E+11,1.14857E+12,1.39846E+12,1.54695E+12,1.57633E+12,1.46759E+12,1.35058E+12,1.20656E+12,1.32647E+12,1.42827E+12,1.39222E+12,1.32694E+12,1.5527E+12,1.67542E+12
Austria,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15373005557,17858486067,22059612477,29515467707,35189299912,40059206763,42959976222,51545758888,62052259073,73937296963,82058912997,71034228443,71275287570,72121016547,67985344887,69386774408,99036164939,1.24168E+11,1.33339E+11,1.33106E+11,1.66463E+11,1.73794E+11,1.95078E+11,1.9038E+11,2.03535E+11,2.41038E+11,2.37251E+11,2.1279E+11,2.1826E+11,2.17259E+11,1.9729E+11,1.97509E+11,2.14395E+11,2.62274E+11,3.01458E+11,3.16092E+11,3.3628E+11,3.89186E+11,4.32052E+11,4.01759E+11,3.92275E+11,4.31685E+11,4.09402E+11,4.30191E+11,4.42585E+11,3.81971E+11,3.95837E+11,4.17261E+11,4.54991E+11,4.44621E+11,4.35225E+11,4.80368E+11,4.714E+11
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006042,5344000000,444658672,1570392598,1193141110,2417332562,3176507992,3962362387,4446370371,4581246713,5272617196,5707618247,6236086669,7276413079,8680410158,13245421881,20981929498,33049426816,48851318826,44292408817,52909294792,65952763949,69679913510,74160553009,75239737489,53076244755,37867007023,40866632048,47112479289,48174235294,42693000000,54825411765,78721058824
Burundi,195999990,202999992,213500006,232749998,260750008,158994963,165444571,178297143,183200000,190205714,242732571,252842285,246804571,304339840,345263492,420986667,448412754,547535556,610225556,782496667,919726667,969046667,1013222222,1082926304,987143931,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590,1000428394,869033856,972896268,893770740,808077223,870486066,876794723,825394520,784654424,915257323,1117113080,1273375078,1356199387,1611835857,1781455140,2032135191,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586962,2667182199,2576518879,2649680261,2775798697,3073414678
Belgium,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26706196047,29821661870,37209418019,47743801490,56033077879,65678189097,71113882968,82839905459,1.01247E+11,1.16315E+11,1.26829E+11,1.0473E+11,92095926188,87184239053,83349530159,86268264148,1.20019E+11,1.49394E+11,1.62299E+11,1.64221E+11,2.05332E+11,2.10511E+11,2.34782E+11,2.24722E+11,2.44884E+11,2.88026E+11,2.79201E+11,2.52708E+11,2.58528E+11,2.58246E+11,2.36792E+11,2.36746E+11,2.58384E+11,3.18083E+11,3.69215E+11,3.85715E+11,4.0826E+11,4.70922E+11,5.17328E+11,4.83254E+11,4.81421E+11,5.2333E+11,4.96153E+11,5.21791E+11,5.3539E+11,4.62336E+11,4.76063E+11,5.02765E+11,5.43299E+11,5.35866E+11,5.25213E+11,5.94352E+11,5.78604E+11
Benin,226195578,235668221,236434954,253927698,269819006,289908680,302925236,306221953,326323106,330748244,333627713,335073028,410331856,504376074,554654862,676870139,698408261,750049780,928843468,1186231018,1405251844,1291120191,1267778672,1095348199,1051134009,1045712790,1336102027,1562412226,1620246085,1502294414,1959965330,1986437798,1695315306,2274558079,1598075945,2169627138,2361116448,2268301645,2455092688,3677393997,3519991440,3666222634,4194342689,5349258093,6190270377,6567654959,7034111316,8169048375,9787734517,9738626510,9535345011,10693321370,11141358106,12517845128,13284527850,11388160997,11821065852,12701655846,14262408080,14391686309,15651545209,17690083520,17401746309
Burkina Faso,330442815,350247235,379567100,394040668,410321645,422916789,433889767,450753924,460442690,478298645,458404269,482411180,578595521,674773570,751133432,939972702,976547187,1131224880,1475583643,1748480618,1928719884,1775842337,1754450098,1600278605,1459880133,1552493197,2036303360,2369834947,2616040481,2615587730,3101300779,3135045586,3356692508,3199536460,1895290638,2379517976,2586550594,2447669100,2804902369,3389566711,2968370087,3190371080,3622350066,4740768141,5451688535,6146353177,6547419822,7625722829,9451435481,9450696866,10109619736,12080295985,12561015145,13444300490,13943016080,11832159316,12833363044,14106955625,15890066210,16178161666,17933606213,19737616003,18884619613
Bangladesh,4274893913,4817580184,5081413340,5319458351,5386054619,5906636557,6439687598,7253575399,7483685474,8471006101,8992721809,8751842840,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341233,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.49991E+11,1.72885E+11,1.95079E+11,2.65236E+11,2.93755E+11,3.21379E+11,3.51238E+11,3.73902E+11,4.16265E+11,4.60201E+11
Bulgaria,,,,,,,,,,,,,,,,,,,,,19839230769,19870000000,19342000000,16563666667,17594944444,17155421053,20249294118,28101000000,22555941176,21988444444,20632090909,10943548387,10350515464,10832228507,9697416974,18991531543,12294987876,11316126258,15031052201,13627325461,13245990274,14183443862,16403043850,21144962058,26157744753,29868651533,34380543845,44432811756,54480697770,52023813558,50754203891,57735709914,54290156342,55844245264,57159557805,50828088836,53987487124,59343060706,66399602077,68911930628,70404359049,84061395658,89040398406
Bahrain,,,,,,,,,,,,,,,,,,,,,3072698328,3467819158,3645744691,3735106393,3905585111,3651861702,3052393617,3392021011,3702393617,3863563830,4229787234,4616223404,4751063830,5200266107,5567553976,5849468273,6101861964,6349202985,6183777212,6621010739,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37802005319,38653318085,34621807713,39303403989,44390820479
"Bahamas, The",169803922,190098039,212254902,237745098,266666667,300392157,340000000,390196078,444901961,528137255,538423154,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10562800000,11176100000,11672900000,11750800000,12253500000,12653600000,13058700000,9754600000,11527600000,12897400000
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469,1866572954,2786045322,3671910026,4116775275,4686255381,5567774049,5800616572,6728219507,8498893358,10156541358,11222796197,12864842269,15778737117,19112801197,17613946109,17176320823,18644239028,17226736285,18179104549,18558731213,16404352156,17116926092,18326376394,20484048416,20482603346,20226030731,23649566069,24527507288
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000,18000000000,17037037037,16280991736,14932024169,13972676841,14756846154,14128408566,15222012660,12138486532,12736856828,12354820144,14594928109,17825437483,23141593074,30210091837,36961822468,45275747157,60752177439,50873181572,57231904543,61762340943,65685903570,75527537703,78812785768,56454895055,47723549319,54725311690,60031163987,64410112583,61371755326,69673747132,72793457588
Belize,28072478,29965000,31857592,33750114,36194586,40110040,44450044,47431267,44999910,47399905,53339893,59074683,65998076,78214778,103160463,118194046,97094221,117650000,136300000,151800000,197938222,196089855,182206327,192103186,214381949,212643743,231638321,281082559,320093360,369133891,549500000,599000000,693500000,751000000,771500000,818500000,851500000,868000000,914000000,975000000,1116000000,1163000000,1233000000,1298000000,1389500000,1461500000,1581000000,1696000000,1729000000,1680500000,1738500000,1819500000,1903000000,2029500000,2138000000,2210500000,2258500000,2286000000,2315000000,2416500000,2080000000,2491500000,2824081836
Bermuda,84466654,89249987,94149986,96366652,107566651,114339049,134173374,155102985,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7127200000,7550500000
Bolivia,377020202,410101010,448400673,482828283,544023569,604377104,669191919,755808081,857912458,929629630,1017003367,1095622896,1257615645,1262968516,2100249875,2404697651,2731984008,3227436282,3758220890,4421336383,4537487803,5891606685,5594121317,5422656266,6169483189,5377276555,3959382833,4347956338,4597612362,4715972853,4867582598,5343261960,5643869231,5734699041,5981223290,6715162199,7396948398,7925736319,8497494138,8285063959,8397855937,8141517339,7905485146,8082399991,8773451752,9549122313,11451845379,13120107739,16674276979,17339992194,19649724656,23963162969,27084497482,30659338886,32996188017,33000198249,33941126194,37508642171,40287647931,40895322851,36629843806,40408208524,43068885673
Brazil,17030465539,17275940449,19231747852,23287712878,20963733695,22465522884,28283323733,31086389195,33930457425,37171640819,42327664794,48869830902,58434858375,83592275863,1.09795E+11,1.29204E+11,1.53169E+11,1.76344E+11,2.00279E+11,2.21338E+11,2.37393E+11,2.58015E+11,2.71314E+11,1.89657E+11,1.8834E+11,2.1088E+11,2.56481E+11,2.83057E+11,3.07882E+11,4.12991E+11,4.64989E+11,4.07729E+11,3.90567E+11,4.383E+11,5.4623E+11,7.69333E+11,8.50426E+11,8.83206E+11,8.63711E+11,5.99642E+11,6.55448E+11,5.59984E+11,5.09795E+11,5.58234E+11,6.69289E+11,8.91634E+11,1.10763E+12,1.39711E+12,1.69586E+12,1.667E+12,2.20884E+12,2.61616E+12,2.46523E+12,2.47282E+12,2.45604E+12,1.80221E+12,1.79569E+12,2.06351E+12,1.91693E+12,1.87329E+12,1.47611E+12,1.64962E+12,1.9201E+12
Barbados,,,,,,,,,,,,,,,311804643,402178605,435911269,495097668,552883707,670362452,1012280615,1114204743,1163923830,1236016507,1346890071,1409536121,1547755183,1704370308,1812757918,2006165167,2012131457,2020583702,1957000000,2063342117,2151344901,2216974096,2363645403,2498384130,2817083478,2951822205,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217450800,4674007450,4784925100,4465657300,4529928300,4657699450,4610096000,4677248300,4696344350,4724691200,4832811750,4981588900,5097283200,5324250000,4671800000,4843800000,5637914515
Brunei Darussalam,,,,,,114039501,132757528,139029537,160818236,161210236,179078929,197525740,270822795,433095587,1073591771,1168304306,1423037359,1732721161,1941579359,2803833730,4928805777,4366231073,4264202523,3844632169,3782552643,3523532487,2358574764,2754485237,2690684125,2985531763,3520486980,3701774189,4183633796,4105729444,4087219773,4734103536,5115454694,5197312555,4051143193,4600117604,6001280944,5601020247,5843367180,6557395816,7872201251,9531417164,11470462365,12247680703,14393437610,10732592999,13707275498,18525128230,19048443089,18094326393,17097801092,12930292949,11400467372,12128182464,13567164445,13469240163,12005795915,14006497000,16681531646
Bhutan,,,,,,,,,,,,,,,,,,,,,128669206,139174181,141439318,156704286,160423489,163288815,191218110,242742766,272298060,264798626,287765007,240294282,240233528,225973695,258954704,290490987,303408343,352229078,363458381,399311196,424448931,461479580,520846132,603999372,682577074,796938572,874989735,1168307575,1227809261,1234015142,1547990907,1777102586,1781280170,1756214304,1907090362,2003596824,2158971718,2450366108,2446867582,2535655609,2325185521,2539551327,
Botswana,30411419,32902593,35644932,38091833,41616368,45788671,51465624,58642385,66248427,77361533,96243298,127448656,164460828,244124116,306044206,355168715,372025093,451624960,590407375,819870595,1060889705,1073812404,1014945861,1172230576,1240821849,1114783538,1392602040,1965227085,2644554882,3083822367,3790636664,3942877354,4146464587,4160129175,4259258811,4730599691,4847757704,5020265168,4790481509,5484263050,5788329609,5489608300,5438864269,7511582173,8957467707,9918907108,9919158482,10567270656,10730828592,10118459714,12637273429,15110642876,13907464500,14271738367,15470087926,13530749290,15082636723,16105156376,17031943186,16725908662,14960291541,18737066307,20352322157
Central African Republic,112155598,123134584,124482774,129379124,142025079,150574795,157930018,163820514,191767442,188039210,189106529,201450800,230317883,271183082,281398706,378660016,451152461,507298148,610578631,700764747,797048197,694803624,748312391,658679333,637820671,864849837,1122265015,1200991976,1264899288,1233930279,1440711459,1377374988,1411917554,1278781259,851174357,1115389674,1007791127,937741512,967338390,999477511,916777283,932648604,996068146,1142315522,1272360517,1337894380,1461859763,1699811293,1993407887,2067381664,2142591539,2437982707,2510126510,1691544111,1894813390,1695825714,1825018144,2072349974,2220979145,2221301351,2326720902,2516498412,2382618615
Canada,40462398502,40935133543,42227357845,45029724490,49377963149,54515115736,61086991002,65668511127,71830047239,79148003145,88192257632,99605414680,1.13464E+11,1.31766E+11,1.60946E+11,1.74427E+11,2.07266E+11,2.12325E+11,2.19377E+11,2.43886E+11,2.7477E+11,3.07246E+11,3.14639E+11,3.41863E+11,3.56728E+11,3.66184E+11,3.79015E+11,4.3314E+11,5.0938E+11,5.67225E+11,5.96089E+11,6.12514E+11,5.94376E+11,5.79059E+11,5.79944E+11,6.05941E+11,6.30598E+11,6.54988E+11,6.33998E+11,6.7841E+11,7.44773E+11,7.38963E+11,7.60649E+11,8.95541E+11,1.02669E+12,1.17311E+12,1.31926E+12,1.46882E+12,1.55299E+12,1.37463E+12,1.61734E+12,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12,1.52799E+12,1.64927E+12,1.7253E+12,1.74373E+12,1.6476E+12,2.00149E+12,2.13984E+12
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55338E+11,2.42591E+11,2.60007E+11,2.74156E+11,3.10993E+11,3.93417E+11,4.16196E+11,4.1017E+11,4.48895E+11,4.35065E+11,4.28593E+11,4.68616E+11,5.28074E+11,6.34393E+11,7.63091E+11,8.86072E+11,1.00157E+12,1.26542E+12,1.53054E+12,1.2897E+12,1.3164E+12,1.45456E+12,1.35888E+12,1.41732E+12,1.46355E+12,1.29337E+12,1.3165E+12,1.46122E+12,1.64851E+12,1.67411E+12,1.66536E+12,1.90556E+12,1.94633E+12
Switzerland,9522746880,10712712646,11879982959,13063644016,14480556816,15346741929,16480058983,17740013478,18942730098,20524886963,,,,,,,,,,,1.22557E+11,1.12242E+11,1.15045E+11,1.14632E+11,1.09456E+11,1.10979E+11,1.59088E+11,1.99237E+11,2.15541E+11,2.08103E+11,2.65772E+11,2.68903E+11,2.79918E+11,2.72234E+11,3.01377E+11,3.52845E+11,3.40101E+11,2.94786E+11,3.03456E+11,2.97883E+11,2.79209E+11,2.8658E+11,3.093E+11,3.62088E+11,4.03914E+11,4.18293E+11,4.41619E+11,4.90755E+11,5.67273E+11,5.54192E+11,5.98851E+11,7.15888E+11,6.8642E+11,7.06235E+11,7.26538E+11,6.94118E+11,6.87895E+11,6.95201E+11,7.25563E+11,7.21369E+11,7.39914E+11,8.0064E+11,8.07706E+11
Chile,4110000000,4828612639,5633224653,5592044871,5963077662,6109341260,7162377225,7057104134,7191615670,8360001926,9144514527,10876408930,11833776659,16826412445,16209686088,7621570580,10338624283,13965594906,15992038367,21806136150,29036709872,34509878044,25326722339,20356389842,19623025627,17702885394,18891048819,22255745800,26040052657,29885218682,33113525804,37835245156,45964855774,49298281356,57008877553,73446446283,78575020639,85728899954,81995749804,75596598517,78249883996,71517267768,70295232513,76507853876,99079365628,1.22315E+11,1.5384E+11,1.72566E+11,1.79663E+11,1.71413E+11,2.17105E+11,2.51225E+11,2.67176E+11,2.77239E+11,2.59405E+11,2.42497E+11,2.49299E+11,2.76365E+11,2.95403E+11,2.78493E+11,2.54096E+11,3.16714E+11,3.01025E+11
China,59716251765,50056688015,47209188356,50706616610,59708127658,70436011537,76720008645,72881367878,70846278963,79705618130,92602638697,99800597893,1.13689E+11,1.38543E+11,1.44189E+11,1.63429E+11,1.53939E+11,1.74936E+11,1.49541E+11,1.78281E+11,1.91149E+11,1.95866E+11,2.0509E+11,2.30687E+11,2.59947E+11,3.09488E+11,3.00758E+11,2.72973E+11,3.12354E+11,3.47768E+11,3.60858E+11,3.83373E+11,4.26916E+11,4.44731E+11,5.64322E+11,7.34485E+11,8.63749E+11,9.61602E+11,1.02906E+12,1.09401E+12,1.21133E+12,1.3394E+12,1.47056E+12,1.66028E+12,1.95535E+12,2.28596E+12,2.75212E+12,3.55033E+12,4.59434E+12,5.10169E+12,6.08719E+12,7.55155E+12,8.53219E+12,9.57047E+12,1.04756E+13,1.10616E+13,1.12333E+13,1.23105E+13,1.38949E+13,1.428E+13,1.46877E+13,1.78205E+13,1.79632E+13
Cote d'Ivoire,546203558,618245635,645284475,761047199,921063326,919771228,1024102882,1082922726,1281281278,1361360292,1455482795,1584128511,1849400398,2508421426,3070152314,3893839184,4662053820,6265068200,7900526290,9142933956,10175617589,8432589956,7567110856,6838184772,6841639250,6977650648,9158302111,10087654451,10255169812,9757410630,10795850585,10492628588,11152971284,11045760269,8313557515,11000146269,18071152821,18047558027,19619654770,18870992456,16577533892,16810537038,18054383334,21251754335,23510575669,24036918719,25281413268,28760090924,34078240260,33886813225,34936307964,36693710822,36302302844,42760235496,48843005625,45815005171,48407761032,52512344034,58522477745,59898479821,62982768372,71811075955,70018715017
Cameroon,614206067,652777609,694247865,718320846,776650177,814083265,851112536,936175261,1046191219,1100551487,1151216993,1236941396,1498251887,1901393361,2157415536,2857037367,2898089999,3394664030,4662852578,5919002975,6674569034,6610938628,6611255970,6870200009,7311938030,8544810503,11857056214,13049659964,12236057370,11012566178,12314482630,11840192304,12071775346,16181814684,8902446258,10864772473,11093538841,10789458426,11298144999,11565826459,10566579295,10953485345,12417251342,15970315030,18826214125,19509852219,20910512978,23928250410,27715142006,27932970297,27507501809,30630910513,30155062303,33728621190,36386544716,32210233022,33814337041,36098547059,39973842059,39670976440,40773241212,45338285386,44341646509
"Congo, Dem. Rep.",3359404118,3086746857,3779841429,6213185743,2881545273,4043901818,4532660182,3384063372,3909780539,5032434970,4877684910,5594770359,6173712814,7870239461,9596960180,10237343174,9648583225,12344424764,15372608002,15068422236,14394927495,12537821038,13651667371,11006712650,7857729193,7195042616,8095367168,7661625473,8861299977,9021862775,9349764580,9625436873,8227343907,10706259937,5820382248,5643439376,5771454940,6090840548,6217806273,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484458,14451901696,16737071816,19788515579,18648372545,21565721036,25839749199,29306235295,32679745036,35909040944,37917706486,37134801549,38019264805,47568210021,51775829869,48716961865,55350968593,58065953573
"Congo, Rep.",131731863,151675739,166521240,172233431,185693725,198318064,220613582,237397428,251247458,265040036,274960700,322128019,410669263,541973362,585364635,767102679,754549601,765224031,878771771,1198749666,1705796850,1993512326,2160640567,2097274290,2193581366,2160872541,1849268215,2297753649,2212536313,2389593022,2798746051,2724853508,2933222706,2684323618,1769365439,2116003868,2540697538,2322719101,1949481381,2354772959,3227927697,2796704603,3034250926,3503723087,4656974938,6650001685,8072305031,8782703428,11649857662,9723299908,13148396206,15655383586,17692911281,17958720704,17912907682,11890259177,10219341017,11094823677,13670038020,12750338736,10483151094,13366230821,14615532210
